,Fact,BLC,Subject,Lesson,SOF_unknown,old_BLC
7,Vietnam,-0.585092,83664,Asian Flags,0.25,
8,Sri%20Lanka,-0.823932,83664,Asian Flags,0.25,
9,Nepal,-3.516991,83664,Asian Flags,0.25,
10,Singapore,-3.201376,83664,Asian Flags,0.25,
11,India,-1.073783,83664,Asian Flags,0.25,
12,Taiwan,-2.68599,83664,Asian Flags,0.25,
13,Thailand,-2.528218,83664,Asian Flags,0.25,
0,Grenada,-2.55149,83664,Caribbean Flags,0.25,
1,Martinique,-2.8964,83664,Caribbean Flags,0.25,
2,Bahamas,-2.533657,83664,Caribbean Flags,0.25,
3,Montserrat,-3.570131,83664,Caribbean Flags,0.25,
4,Dominica,-3.667421,83664,Caribbean Flags,0.25,
5,Haiti,-2.61315,83664,Caribbean Flags,0.25,
6,Jamaica,-0.821851,83664,Caribbean Flags,0.25,
7,Bonaire,-2.565279,83664,Caribbean Flags,0.25,
8,Barbados,-1.625172,83664,Caribbean Flags,0.25,
9,Anguilla,-3.279653,83664,Caribbean Flags,0.25,
10,Aruba,-1.078493,83664,Caribbean Flags,0.25,
11,St%20Kitts%20and%20Nevis,-1.102133,83664,Caribbean Flags,0.25,
12,Trinidad,-1.211319,83664,Caribbean Flags,0.25,
0,Bangladesh,-0.720293,83670,Asian Flags,0.22,
1,South%20Korea,-0.742946,83670,Asian Flags,0.22,
2,Hong%20Kong,-1.437117,83670,Asian Flags,0.22,
3,Japan,-0.966804,83670,Asian Flags,0.22,
4,Saudi%20Arabia,-0.820433,83670,Asian Flags,0.22,
5,Maldives,-2.544,83670,Asian Flags,0.22,
6,Philippines,-1.402303,83670,Asian Flags,0.22,
7,Vietnam,0.440592,83670,Asian Flags,0.22,
8,China,-0.411227,83670,Asian Flags,0.22,
9,Nepal,-1.373229,83670,Asian Flags,0.22,
10,India,-0.698963,83670,Asian Flags,0.22,
11,Singapore,-1.505809,83670,Asian Flags,0.22,
12,Sri%20Lanka,-0.992457,83670,Asian Flags,0.22,
13,Taiwan,-2.532018,83670,Asian Flags,0.22,
14,Thailand,-3.041483,83670,Asian Flags,0.22,
