,Fact,BLC,Subject,Lesson
110,Maldives,-0.4502000887839428,83659,Asian Flags
111,Philippines,-0.4158125864862667,83659,Asian Flags
112,Nepal,-0.38779919064075713,83659,Asian Flags
113,China,-0.2672441107811051,83659,Asian Flags
114,Vietnam,-0.34693015391169213,83659,Asian Flags
115,India,-0.29612163605803676,83659,Asian Flags
116,Singapore,-0.5005306197835845,83659,Asian Flags
117,Sri%20Lanka,-0.34918800648046416,83659,Asian Flags
118,Taiwan,-0.4140346020081126,83659,Asian Flags
119,Thailand,-0.48746673587999795,83659,Asian Flags
120,Grenada,-0.4421316867282785,83723,Caribbean Flags
121,Martinique,-0.42488110195737167,83723,Caribbean Flags
122,Dominica,-0.3641335774714002,83723,Caribbean Flags
123,Montserrat,-0.3560893979389421,83723,Caribbean Flags
124,Bahamas,-0.31795517477919305,83723,Caribbean Flags
125,Haiti,-0.442680291264215,83723,Caribbean Flags
126,Jamaica,-0.46297648674664715,83723,Caribbean Flags
127,Bonaire,-0.35729987799260005,83723,Caribbean Flags
128,Barbados,-0.29982132268228023,83723,Caribbean Flags
129,St%20Lucia,-0.39908998408676566,83723,Caribbean Flags
130,Anguilla,-0.4370954574383086,83723,Caribbean Flags
131,Aruba,-0.16534104279274095,83723,Caribbean Flags
132,St%20Kitts%20and%20Nevis,-0.2650852951360021,83723,Caribbean Flags
133,Trinidad,-0.24823857200323204,83723,Caribbean Flags
134,Cuba,-0.32836208058470195,83723,Caribbean Flags
135,Bangladesh,-0.3730114002251541,83723,Asian Flags
136,South%20Korea,-0.22926314974974374,83723,Asian Flags
137,Hong%20Kong,-0.3217014767915917,83723,Asian Flags
138,Japan,-0.2696481639948296,83723,Asian Flags
139,Saudi%20Arabia,-0.3574112575870409,83723,Asian Flags
140,Maldives,-0.3853543747902018,83723,Asian Flags
141,Philippines,-0.39585459317065497,83723,Asian Flags
142,Nepal,-0.3053668729693958,83723,Asian Flags
143,Sri%20Lanka,-0.35100593650513223,83723,Asian Flags
144,China,-0.42106146053243565,83723,Asian Flags
145,Vietnam,-0.3709045162258833,83723,Asian Flags
146,Singapore,-0.3259222634884127,83723,Asian Flags
147,India,-0.2807163063389717,83723,Asian Flags
148,Taiwan,-0.2943279959359118,83723,Asian Flags
149,Thailand,-0.3539199414603292,83723,Asian Flags
150,Grenada,-0.3796745426807138,83661,Caribbean Flags
151,Martinique,-0.397440714448748,83661,Caribbean Flags
152,Bahamas,0.3039135418216806,83661,Caribbean Flags
153,Montserrat,-0.16494932477539453,83661,Caribbean Flags
154,Dominica,-2.360679774997898,83661,Caribbean Flags
155,Haiti,-0.5238099793278198,83661,Caribbean Flags
156,Jamaica,-0.39740568453438646,83661,Caribbean Flags
157,Bonaire,-0.5187860254939292,83661,Caribbean Flags
158,Barbados,-0.3837501537738216,83661,Caribbean Flags
159,St%20Lucia,-0.038188632230033846,83661,Caribbean Flags
160,Anguilla,-0.35720620107121365,83661,Caribbean Flags
161,Aruba,-0.4624754227006904,83661,Caribbean Flags
162,St%20Kitts%20and%20Nevis,-0.2648284002145068,83661,Caribbean Flags
163,Trinidad,-0.17037217852661313,83661,Caribbean Flags
164,Cuba,-0.3515824873503769,83661,Caribbean Flags
165,Bangladesh,-0.3925277501343315,83661,Asian Flags
166,South%20Korea,-0.3919086884173114,83661,Asian Flags
167,Hong%20Kong,-0.35597920837908753,83661,Asian Flags
168,Japan,-0.4145402214138607,83661,Asian Flags
169,Saudi%20Arabia,-0.4018955343720454,83661,Asian Flags
170,Maldives,-0.283964421245256,83661,Asian Flags
171,Philippines,-0.3443305708884678,83661,Asian Flags
172,Vietnam,-0.4101282909746865,83661,Asian Flags
173,China,-0.40929738536311955,83661,Asian Flags
174,Nepal,-0.46740342329007334,83661,Asian Flags
175,India,-0.40422325740312876,83661,Asian Flags
176,Singapore,-0.3003045983794786,83661,Asian Flags
177,Sri%20Lanka,-0.4478957747255937,83661,Asian Flags
178,Taiwan,-0.41152843100219694,83661,Asian Flags
179,Thailand,-0.11744720316447911,83661,Asian Flags
180,Grenada,-0.5586548978107909,83693,Caribbean Flags
181,Martinique,-1.2572924750782202,83693,Caribbean Flags
182,Dominica,-1.0246456389578131,83693,Caribbean Flags
183,Montserrat,-1.6637069069122312,83693,Caribbean Flags
184,Haiti,-0.4868506000826569,83693,Caribbean Flags
185,Jamaica,-0.42179755905533206,83693,Caribbean Flags
186,Bonaire,-0.6076573035471502,83693,Caribbean Flags
187,Barbados,-0.02095941323028793,83693,Caribbean Flags
188,St%20Lucia,-2.360679774997898,83693,Caribbean Flags
189,Anguilla,-0.765615813135193,83693,Caribbean Flags
190,St%20Kitts%20and%20Nevis,-2.1939849965651548,83693,Caribbean Flags
191,Aruba,-0.908901250679981,83693,Caribbean Flags
192,Trinidad,-1.7405783641217378,83693,Caribbean Flags
193,Cuba,-1.6620779520542563,83693,Caribbean Flags
194,Bangladesh,-2.360679774997898,83693,Asian Flags
195,South%20Korea,-0.639444814110842,83693,Asian Flags
196,Hong%20Kong,-0.09592806057508915,83693,Asian Flags
197,Japan,-0.40540739390689007,83693,Asian Flags
198,Saudi%20Arabia,-0.2926269902633464,83693,Asian Flags
199,Sri%20Lanka,-2.360679774997898,83693,Asian Flags
200,Maldives,-2.360679774997898,83693,Asian Flags
201,Philippines,-0.11811908894101711,83693,Asian Flags
202,Vietnam,-0.15277844101238075,83693,Asian Flags
203,China,-0.4051075733062967,83693,Asian Flags
204,Nepal,-0.3397737198312847,83693,Asian Flags
205,Singapore,-0.13559526623495857,83693,Asian Flags
206,India,-0.39631768283956464,83693,Asian Flags
207,Taiwan,0.3995804023692678,83693,Asian Flags
208,Thailand,-0.5255128275924009,83693,Asian Flags
209,Grenada,-1.3388199348178786,83663,Caribbean Flags
210,Martinique,-2.9381623830286583,83663,Caribbean Flags
211,Bahamas,1.8516212822988476,83663,Caribbean Flags
212,Montserrat,0.8361583459916567,83663,Caribbean Flags
213,Dominica,-1.0366483873662873,83663,Caribbean Flags
214,Haiti,1.3919831342559406,83663,Caribbean Flags
215,Jamaica,1.7233981131818918,83663,Caribbean Flags
216,Bonaire,-1.5394668411932542,83663,Caribbean Flags
217,Barbados,1.682300670128263,83663,Caribbean Flags
218,St%20Lucia,0.2737058641199649,83663,Caribbean Flags
219,Anguilla,-0.0586839978297591,83663,Caribbean Flags
220,Aruba,-1.4768953058844938,83663,Caribbean Flags
221,St%20Kitts%20and%20Nevis,0.4780589399977723,83663,Caribbean Flags
222,Trinidad,1.9394717600069609,83663,Caribbean Flags
223,Bangladesh,1.9417853033631318,83663,Asian Flags
224,South%20Korea,1.106120135618837,83663,Asian Flags
225,Hong%20Kong,0.9237130447167379,83663,Asian Flags
226,Japan,1.2025775515695034,83663,Asian Flags
227,Saudi%20Arabia,0.5526966481790344,83663,Asian Flags
228,Sri%20Lanka,0.26752154883499407,83663,Asian Flags
229,Maldives,1.5547505264844177,83663,Asian Flags
230,Philippines,1.516795006593233,83663,Asian Flags
231,Nepal,0.8726934441322802,83663,Asian Flags
232,China,1.0647439064735837,83663,Asian Flags
233,Vietnam,0.41392695462364626,83663,Asian Flags
234,Singapore,1.8266583161904595,83663,Asian Flags
235,India,1.0378214268146873,83663,Asian Flags
236,Taiwan,1.4725857868655137,83663,Asian Flags
237,Thailand,1.8023844134149491,83663,Asian Flags
238,Grenada,-1.3410659342298528,83664,Caribbean Flags
239,Martinique,-1.8649258210660293,83664,Caribbean Flags
240,Bahamas,-1.30144010787224,83664,Caribbean Flags
241,Montserrat,-2.1426130133695396,83664,Caribbean Flags
242,Dominica,-2.4585879725714874,83664,Caribbean Flags
243,Haiti,-1.1498751830797278,83664,Caribbean Flags
244,Jamaica,-0.1080325928467765,83664,Caribbean Flags
245,Bonaire,-2.276114363715532,83664,Caribbean Flags
246,Barbados,-0.76421218439716,83664,Caribbean Flags
247,Anguilla,-2.0594271864582807,83664,Caribbean Flags
248,Aruba,-0.46003567152875924,83664,Caribbean Flags
249,St%20Kitts%20and%20Nevis,-0.7687546502599388,83664,Caribbean Flags
250,Trinidad,-0.3124441865903287,83664,Caribbean Flags
251,Bangladesh,-0.31655636402569043,83664,Asian Flags
252,South%20Korea,0.2310526270213128,83664,Asian Flags
253,Hong%20Kong,-0.5811731484082927,83664,Asian Flags
254,Japan,-0.028230859534369875,83664,Asian Flags
255,Saudi%20Arabia,-0.3505380525641446,83664,Asian Flags
256,Maldives,-1.931899202020074,83664,Asian Flags
257,Philippines,-1.723217493201225,83664,Asian Flags
258,Vietnam,0.25977923685760496,83664,Asian Flags
259,Sri%20Lanka,0.2192101882077214,83664,Asian Flags
260,Nepal,-2.1631701565488144,83664,Asian Flags
261,Singapore,-1.9162241776804219,83664,Asian Flags
262,India,-0.39886323790334605,83664,Asian Flags
263,Taiwan,-1.5888419355458425,83664,Asian Flags
264,Thailand,-1.7238568014148803,83664,Asian Flags
265,Grenada,-2.894054652599199,83725,Caribbean Flags
266,Martinique,-3.681212833849822,83725,Caribbean Flags
267,Dominica,-2.349219804777519,83725,Caribbean Flags
268,Montserrat,-3.958296580162174,83725,Caribbean Flags
269,Bahamas,-1.3296600051279897,83725,Caribbean Flags
270,Haiti,-3.0991543338113083,83725,Caribbean Flags
271,Jamaica,-2.3397836424704996,83725,Caribbean Flags
272,Bonaire,-3.7813968246164102,83725,Caribbean Flags
273,Barbados,-1.6804136378086556,83725,Caribbean Flags
274,St%20Lucia,-1.8367604418561099,83725,Caribbean Flags
275,Anguilla,-3.6405883572102122,83725,Caribbean Flags
276,Aruba,-3.4193726448460473,83725,Caribbean Flags
277,St%20Kitts%20and%20Nevis,-2.516346579306815,83725,Caribbean Flags
278,Trinidad,-1.7129936674935282,83725,Caribbean Flags
279,Cuba,-1.234372551308347,83725,Caribbean Flags
280,Bangladesh,-1.185060878469024,83725,Asian Flags
281,South%20Korea,-0.3876959871093244,83725,Asian Flags
282,Hong%20Kong,-0.45671874791460226,83725,Asian Flags
283,Japan,-0.27587711929497144,83725,Asian Flags
284,Saudi%20Arabia,-0.42872929677148686,83725,Asian Flags
285,Sri%20Lanka,-0.493523271525224,83725,Asian Flags
286,Maldives,-0.7573851386991926,83725,Asian Flags
287,Philippines,-0.6480317570080656,83725,Asian Flags
288,Nepal,-0.6235702642401347,83725,Asian Flags
289,China,-0.22563763595318742,83725,Asian Flags
290,Vietnam,-0.8766598597132818,83725,Asian Flags
291,Singapore,-0.7494369935106477,83725,Asian Flags
292,India,-0.7501823414223633,83725,Asian Flags
293,Taiwan,-1.1449664314372112,83725,Asian Flags
294,Thailand,-1.4969067130316853,83725,Asian Flags
295,Grenada,-0.5366548618200094,83698,Caribbean Flags
296,Martinique,-0.1241953820590742,83698,Caribbean Flags
297,Bahamas,-0.20319830346332926,83698,Caribbean Flags
298,Montserrat,-0.598159957922953,83698,Caribbean Flags
299,Dominica,-1.2225197183888645,83698,Caribbean Flags
300,Haiti,-0.5105481097400182,83698,Caribbean Flags
301,Jamaica,-0.10597665446518621,83698,Caribbean Flags
302,Bonaire,-0.08809980408924387,83698,Caribbean Flags
303,Barbados,-0.5050938700749825,83698,Caribbean Flags
304,St%20Lucia,-0.3721823638504171,83698,Caribbean Flags
305,Anguilla,0.07250657275045576,83698,Caribbean Flags
306,Aruba,-1.2474749400176046,83698,Caribbean Flags
307,St%20Kitts%20and%20Nevis,-0.7886861737813524,83698,Caribbean Flags
308,Trinidad,-0.2888402113731873,83698,Caribbean Flags
309,Cuba,-0.1280366461913654,83698,Caribbean Flags
310,Bangladesh,-0.17077164915046017,83698,Asian Flags
311,South%20Korea,-0.266491715586991,83698,Asian Flags
312,Hong%20Kong,-0.26615563088087413,83698,Asian Flags
313,Japan,-0.2516298272403258,83698,Asian Flags
314,Saudi%20Arabia,-0.2580687222328042,83698,Asian Flags
315,Maldives,-0.2057291842266921,83698,Asian Flags
316,Philippines,-0.1404674621758579,83698,Asian Flags
317,Vietnam,-0.22446124716629512,83698,Asian Flags
318,Sri%20Lanka,-0.4504070420513131,83698,Asian Flags
319,China,-0.25971820737667106,83698,Asian Flags
320,Nepal,-0.21144426016962223,83698,Asian Flags
321,Singapore,-0.09274350641715569,83698,Asian Flags
322,India,-0.3980609764796834,83698,Asian Flags
323,Taiwan,0.4614295482678226,83698,Asian Flags
324,Thailand,-0.003212494525758124,83698,Asian Flags
325,Grenada,-0.25131666383664786,83666,Caribbean Flags
326,Martinique,-1.1618995644142371,83666,Caribbean Flags
327,Bahamas,-1.213747623154515,83666,Caribbean Flags
328,Montserrat,-1.0397819959543664,83666,Caribbean Flags
329,Dominica,-0.5193586377145951,83666,Caribbean Flags
330,Haiti,-0.038450102407490944,83666,Caribbean Flags
331,Jamaica,-0.3190579886093118,83666,Caribbean Flags
332,Bonaire,-1.741405387172733,83666,Caribbean Flags
333,Barbados,-0.37716146364233194,83666,Caribbean Flags
334,St%20Lucia,-0.41726235459928734,83666,Caribbean Flags
335,Anguilla,-0.8682645430853774,83666,Caribbean Flags
336,St%20Kitts%20and%20Nevis,-1.2909576544044616,83666,Caribbean Flags
337,Aruba,-1.435186711842216,83666,Caribbean Flags
338,Trinidad,-0.3565210733934696,83666,Caribbean Flags
339,Cuba,0.1955055415753598,83666,Caribbean Flags
340,Bangladesh,-0.3459998047859108,83666,Asian Flags
341,South%20Korea,-0.32588753702962053,83666,Asian Flags
342,Hong%20Kong,0.11436668968875291,83666,Asian Flags
